SCHM_CODE,DEL_FLG,SCHM_DESC,INT_PAID_BACID,INT_COLL_BACID,GL_SUB_HEAD_CODE,SERV_CHRG_COLL_FLG,BACK_DATE_TRAN_EXCP_CODE,VAL_DATE_TRAN_EXCP_CODE,ACCT_IN_CR_BAL_EXCP_CODE,MIN_POSTING_WORKCLASS,SCHM_TYPE,INT_PAID_FLG,INT_COLL_FLG,STAFF_SCHM_FLG,NRE_SCHM_FLG,MERGE_INT_PTRAN_FLG,LCHG_USER_ID,RCRE_USER_ID,LCHG_TIME,RCRE_TIME,MICR_CHQ_CHRG_BACID,INSUFF_AVAIL_BAL_EXCP_CODE,FD_CR_BACID,FD_DR_BACID,FX_TRAN_FLG,STP_CR_DR_IND,FCNR_FLG,INT_PANDL_BACID,PARKING_BACID,INT_PAID_COLL_CRNCY_FLG,CASH_WD_WO_CHQ_EXCP_CODE,ACCT_NAME_CHANGED_EXCP_CODE,XFER_IN_INT_DETAILS_FLG,ACCT_REFERENCE_EXCP_CODE,DR_OPER_ACCT_IF_NO_BAL_FLG,INT_DR_CUST_DIFF_EXCP_CODE,INT_CR_CUST_DIFF_EXCP_CODE,ISO_USER_TOD_GRNT_EXCP_CODE,ISO_AUTO_TOD_GRNT_EXCP_CODE,INTER_SOL_CLOSURE_ALWD_FLG,LEVY_TAX_PCNT_1,LEVY_TAX_PCNT_2,LEVY_TAX_PCNT_3,LEVY_TAX_DESC_1,LEVY_TAX_DESC_2,LEVY_TAX_DESC_3,LEVY_TAX_BACID_1,LEVY_TAX_BACID_2,LEVY_TAX_BACID_3,LEVY_TAX_MERGE_PTRAN_FLG,PEG_INT_FOR_AC_FLG,MOD_OF_PEG_INT_ALLOWED_FLG,PEG_REVIEW_PREF_FROM_CUST,DFLT_INT_PAR_CHNG_EXCP_CODE,CLS_PEND_REVERSAL_EXCP_CODE,CHQ_ISSUED_ACK_EXCP_CODE,ACCT_CLOSURE_CHRG_DAYS,ACCT_CLOSURE_CHRG_MNTHS,ACCT_MAINT_PERIOD,MIN_COMMIT_CHRG_UTIL_PCNT,COMMIT_CALC_METHOD,INACTIVE_ACCT_CHRG_DAYS,INACTIVE_ACCT_CHRG_MNTHS,DORMANT_ACCT_CHRG_DAYS,DORMANT_ACCT_CHRG_MNTHS,PARTITION_MANDATORY_FLG,BOOK_TRAN_SCRIPT,INTCALC_TRAN_SCRIPT,ADVANCE_INT_BACID,TDS_PARKING_BACID,PENAL_PANDL_BACID,DFLT_CLG_TRAN_CODE,DFLT_INST_TYPE,CHQ_UNUSABLE_EXCP_CODE,INT_PANDL_BACID_CR,INT_PANDL_BACID_DR,BEL_MIN_BAL_EXCP_CODE,PEN_CHRG_NCALC_EXCP_CODE,INT_FREQ_TYPE_CR,INT_FREQ_WEEK_NUM_CR,INT_FREQ_WEEK_DAY_CR,INT_FREQ_START_DD_CR,PD_GL_SUB_HEAD_CODE,PS_FREQ_WEEK_DAY,PS_FREQ_START_DD,PS_FREQ_HLDY_STAT,AUTO_RENEWAL_PERIOD_FLG,PRODUCT_GROUP,PRINCIPAL_LOSSLINE_BACID,RECOVER_LOSSLINE_BACID,CHRGE_OFF_BACID,INT_WAIVER_BACID,DAILY_COMP_INT_FLG,DISC_RATE_FLG,START_DATE,END_DATE,FIXEDTERM_MNTHS,FIXEDTERM_YEARS,REPRICING_PLAN,REPRICING_FREQ_MNTHS,REPRICING_FREQ_DAYS,REPRICING_YEAR_IND,FLOAT_INT_TBL_CODE,FLOAT_REPRICING_FREQ_MNTHS,FLOAT_REPRICING_FREQ_DAYS,SCRIPT_VALUE_DATE_EXCP_CODE,CUST_MIN_AGE,CUST_MAX_AGE,SCHM_SHORT_NAME,BANK_ID,SYN_AGENT_SCHEME,PRODUCT_CONCEPT,SCHM_NATURE
A0042,N,NH - CHO VAY HO TRO TIEU THUONG TRA GOP - ADD-ON,,39411000,21110, ,A29,A26,A30,560,LAA, ,Y,N,B, ,ANH.DTP,BPD1,12:53.0,29:40.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,A07,,,0,0, ,0, ,0,0,0,0, ,,,,,39411007,,,,,39411007,,, , ,0,0,21111,0,0, , ,R06,21192000,21193000,21160000,39411007,N,N,00:00.0,00:00.0,0,0,F,0,0,A,,0,0,,18,65,,1,N,R0601,N
A0043,N,NH - CHO VAY CBCNV DOANH NGHIEP NHAT BAN THEO DU NO GIAM DAN,,39411000,21110, ,A29,A26,A30,560,LAA, ,Y,N,B, ,ANH.DTP,BPD1,12:05.0,29:42.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,A07,,,0,0, ,0, ,0,0,0,0, ,,,,,39411007,,,,,39411007,,, , ,0,0,21111,0,0, , ,R01,21192000,21193000,21160000,39411007,N,N,00:00.0,00:00.0,0,0,M,1,0,A,,0,0,,18,65,,1,N,R0107,N
A0044,N,TH - CHO VAY CBCNV DOANH NGHIEP NHAT BAN THEO DU NO GIAM DAN,,39413000,21210, ,A29,A26,A30,560,LAA, ,Y,N,B, ,ANH.DTP,BPD1,12:28.0,29:43.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,A07,,,0,0, ,0, ,0,0,0,0, ,,,,,39413007,,,,,39413007,,, , ,0,0,21211,0,0, , ,R01,21292000,21293000,21260000,39413007,N,N,00:00.0,00:00.0,0,0,M,1,0,A,,0,0,,18,65,,1,N,R0107,N
A0046,N,NH - CHO VAY CBCNV DOANH NGHIEP NHAT BAN - LS ADD-ON,,39411000,21110, ,A29,A26,A30,560,LAA, ,Y,N,B, ,LINH.ND,BPD1,27:59.0,29:46.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,A07,,,0,0, ,0, ,0,0,0,0, ,,,,,39411007,,,,,39411007,,, , ,0,0,21111,0,0, , ,R01,21192000,21193000,21160000,39411007,N,N,00:00.0,00:00.0,0,0,F,0,0,A,,0,0,,18,65,,1,N,R0108,N
A0000,N,CCNH - CHO VAY DB BANG GTCG KHAC VND DO EIB PHAT HANH,,39416000,21120, ,A29,A26,A30,560,LAA, ,Y,N,B, ,ANH.DTP,BPD1,01:29.0,45:14.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,A07,,,0,0, ,0, ,0,0,0,0, ,,,,,39416007,,,,,39416007,,, , ,0,0,21121,0,0, , ,R02,21192001,21193001,21160001,39416007,N,N,00:00.0,00:00.0,0,0,M,3,0,A,,0,0,,18,70,,1,N,R0201,N
A0001,N,TH - CHO VAY DB BANG GTCG KHAC VND DO EIB PHAT HANH,,39416100,21220, ,A29,A26,A30,560,LAA, ,Y,N,B, ,ANH.DTP,BPD1,01:38.0,28:18.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,A07,,,0,0, ,0, ,0,0,0,0, ,,,,,39416107,,,,,39416107,,, , ,0,0,21221,0,0, , ,R02,21292001,21293001,21260001,39416107,N,N,00:00.0,00:00.0,0,0,M,3,0,A,,0,0,,18,65,,1,N,R0201,N
A0002,N,"NH - CHO VAY DB BANG THE TK NH KHAC, TRAI PHIEU CP",,39416000,21120, ,A29,A26,A30,560,LAA, ,Y,N,B, ,ANH.DTP,BPD1,02:31.0,28:22.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,A07,,,0,0, ,0, ,0,0,0,0, ,,,,,39416007,,,,,39416007,,, , ,0,0,21121,0,0, , ,R02,21192001,21193001,21160001,39416007,N,N,00:00.0,00:00.0,0,0,M,3,0,A,,0,0,,18,65,,1,N,R0202,N
A0003,N,NH - CHO VAY DB BANG BDS DO THI,,39411000,21110, ,A29,A26,A30,560,LAA, ,Y,N,B, ,ANH.DTP,BPD1,02:53.0,28:26.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,A07,,,0,0, ,0, ,0,0,0,0, ,,,,,39411007,,,,,39411007,,, , ,0,0,21111,0,0, , ,R05,21192000,21193000,21160000,39411007,N,N,00:00.0,00:00.0,0,0,M,3,0,A,,0,0,,18,65,,1,N,R0501,N
C5091,N,DH - DAIMLER FINANCIAL SERVICES OFFER 6,,39414010,21312, ,B16,B19,B27,560,CLA, ,Y,N,N, ,ASSET2,EXIMIT,43:02.0,10:41.0,,,,,N, ,N,,,A,,, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,B31,,,0,0, ,0, ,0,0,0,0, ,,,,,39414017,,,,,39414017,,, , ,0,0,21313,0,0, , ,DC1,21692000,21693000,21660000,39414017, ,N,00:00.0,00:00.0,12,0,L,0,0,A,A9954,0,0,B17,0,0,,1,N,DC102,N
R5139,N,DH - DAIMLER FINANCIAL SERVICES OFFER 1,,39414000,21310, ,A29,A26,A30,560,LAA, ,Y,N,B, ,ANH.DTP,ASSET1,11:55.0,10:53.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,A37,,,0,0, ,0, ,0,0,0,0, ,,,,,39414007,,,,,39414007,,, , ,0,0,21311,0,0, , ,DR9,21392000,21393000,21360000,39414007,N,N,00:00.0,00:00.0,12,0,L,0,0,A,A2010,1,0,,18,65,,1,N,DR901,N
